"County","Year","Total.Revenues","Estimated.Population","Revenues.Per.Capita","AcresBurned","StructuresDestroyed","year_before","Revenue.Before","Population.Before","year_after","Revenue.After","Population.After"
"TEHAMA",2019,141114148,64387,2192,5332,NA,2018,129771624,64039,2020,151252671,65129
"TRINITY",2015,50487997,13571,3720,36503,NA,2014,46641275,13389,2016,55094161,13667
"TRINITY",2015,50487997,13571,3720,1542,NA,2014,46641275,13389,2016,55094161,13667
"TRINITY",2015,50487997,13571,3720,77081,NA,2014,46641275,13389,2016,55094161,13667
"TRINITY",2015,50487997,13571,3720,29416,NA,2014,46641275,13389,2016,55094161,13667
"TRINITY",2017,52351633,13628,3841,13417,NA,2016,55094161,13667,2018,61360368,13635
"TRINITY",2017,52351633,13628,3841,4736,NA,2016,55094161,13667,2018,61360368,13635
"TRINITY",2017,52351633,13628,3841,21846,NA,2016,55094161,13667,2018,61360368,13635
"TRINITY",2018,61360368,13635,4500,1751,NA,2017,52351633,13628,2019,60099392,13688
"TRINITY",2018,61360368,13635,4500,229651,1614,2017,52351633,13628,2019,60099392,13688
"TRINITY",2018,61360368,13635,4500,63311,42,2017,52351633,13628,2019,60099392,13688
